Requester_Organisation,Amount_Demanded,Demand_Time,Warning_Prior,User_Avg_Monthly_Transaction,Prev_Txns_With_Requester,Reason,Request_Message,Fraud_Request
Official Bank,15594,11:07,No,4254,0,Loan repayment,Monthly loan installment pending. Kindly send the amount.,No
Official Bank,17861,13:22,No,8730,3,Contest reward verification,You've won! Pay verification fee to claim reward.,No
Random Name,1804,17:39,No,9939,1,Verification fee,Complete verification by accepting this request.,No
Unknown Name,4640,21:52,Yes,9139,0,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
Random Name,536,16:49,No,6271,1,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
Official Bank,9456,10:32,Yes,7681,5,Insurance payment,Reminder: Insurance premium due today.,No
Unknown Name,13413,18:19,Yes,3737,0,Insurance payment,Reminder: Insurance premium due today.,Yes
Random Name,2145,20:32,Yes,4135,0,Verification fee,Complete verification by accepting this request.,No
Unknown Name,4700,16:23,Yes,6125,1,Refund of failed transaction,You are eligible for a refund. Please accept the request.,No
Unknown Name,11568,22:46,No,1801,0,Loan repayment,Monthly loan installment pending. Kindly send the amount.,Yes
Random Name,19421,21:58,Yes,3680,1,Contest reward verification,You've won! Pay verification fee to claim reward.,Yes
Official Bank,13655,11:01,Yes,4868,0,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
Official Bank,16856,13:55,No,8584,1,Contest reward verification,You've won! Pay verification fee to claim reward.,No
Random Name,12427,18:47,No,6118,1,Verification fee,Complete verification by accepting this request.,Yes
Official Bank,15351,10:49,Yes,2159,1,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
UPI App Support,18187,12:42,No,905,5,Contest reward verification,You've won! Pay verification fee to claim reward.,No
Official Bank,1695,11:17,Yes,6579,5,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
Random Name,16595,21:06,Yes,9698,0,Refund of failed transaction,You are eligible for a refund. Please accept the request.,Yes
Unknown Name,4987,16:20,Yes,7336,1,Verification fee,Complete verification by accepting this request.,No
Government Org,1010,10:30,Yes,581,5,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,No
Random Name,17108,19:16,No,3966,0,Loan repayment,Monthly loan installment pending. Kindly send the amount.,Yes
Unknown Name,7694,19:41,Yes,6482,1,Electricity bill,Electricity bill due. Pay now to avoid disconnection.,Yes
Random Name,4036,16:54,Yes,1678,1,Insurance payment,Reminder: Insurance premium due today.,Yes
